Country,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Grenada,67953,76000,85000,91000,94000,96000,96000,91000,94000,95000,98000,102000,105000,108000,111000,114000
Guam,52174,60000,69000,67000,75000,87000,103000,107000,121000,135000,145000,156000,159000,160000,162000,169000
Guatemala,2527225,2969000,3488000,4100000,4746000,5265000,5911000,6650000,7581000,8966000,10028000,11086000,12183000,13551000,14919000,16265000
Guernsey,45021,46000,47000,47000,51000,54000,54000,54000,56000,63000,61000,62000,64000,65000,67000,68000
Guinea,2399496,2586000,2787000,3027000,3314000,3644000,4019000,4448000,5227000,6119000,7446000,8351000,9154000,10325000,11781000,13420000
Guinea-Bissau,556547,574000,592000,617000,604000,621000,681000,789000,886000,996000,1144000,1279000,1415000,1566000,1727000,1893000
Guyana,372325,428000,492000,572000,641000,715000,768000,760000,763000,772000,769000,785000,775000,746000,736000,751000
Haiti,2852185,3098000,3365000,3697000,4094000,4541000,4974000,5508000,6120000,6798000,7571000,8413000,9205000,9649000,10111000,10693000
Honduras,1233087,1432000,1663000,1952000,2330000,2761000,2858000,3403000,4078000,4795000,5551000,6360000,7194000,7990000,8747000,9466000
Hong Kong,2010696,2238000,2491000,3076000,3598000,3960000,4396000,5064000,5457000,5688000,6223000,6656000,6905000,7030000,7142000,7250000
Hungary,8876137,9339000,9826000,9984000,10153000,10338000,10532000,10712000,10649000,10372000,10281000,10148000,10058000,9993000,9898000,9772000
Iceland,128610,143000,159000,176000,193000,205000,219000,229000,242000,255000,268000,282000,297000,318000,332000,358000
India,338418955,369881000,404268000,445394000,494964000,553889000,618923000,684888000,759613000,838159000,920585000,1006301000,1090974000,1173109000,1251696000,1326094000
Indonesia,76289562,82979000,90255000,100146000,110754000,122292000,135214000,150322000,166070000,181600000,197604000,214091000,229245000,243423000,255994000,279080000
Iran,14279533,16358000,18739000,21600000,25040000,28995000,33468000,39709000,48619000,58101000,64218000,68632000,72283000,76924000,81825000,86544000
Iraq,4516751,5164000,5904000,6823000,7971000,9414000,11118000,13233000,15694000,18140000,19658000,23129000,27538000,30527000,37057000,42213000
Ireland,3011757,2964000,2917000,2833000,2877000,2951000,3178000,3402000,3541000,3509000,3614000,3823000,4200000,4623000,4893000,5177000
Isle of Man,58173,55000,52000,48000,49000,53000,60000,65000,65000,69000,73000,76000,80000,84000,88000,91000
Israel,935273,1287000,1771000,2139000,2573000,2895000,3342000,3721000,4050000,4460000,5335000,6098000,6726000,7369000,8050000,9178000
Italy,45626007,47106000,48634000,50198000,51988000,53662000,55572000,56452000,56719000,56714000,57295000,57785000,59038000,60749000,61856000,62403000
Ivory Coast,2586199,2861000,3165000,3577000,4357000,5580000,7031000,8594000,10332000,12491000,14846000,16885000,18921000,21059000,23296000,25504000
Jamaica,1288264,1385000,1489000,1632000,1778000,1944000,2105000,2229000,2319000,2348000,2470000,2616000,2737000,2848000,2951000,3052000
Japan,78198157,83806000,89816000,94092000,98883000,104345000,111574000,116808000,120755000,123538000,125328000,126776000,127716000,127580000,126920000,126138000
Jersey,54150,57000,60000,63000,67000,70000,73000,76000,80000,84000,85000,88000,89000,94000,98000,102000
Jordan,458409,562000,689000,853000,1069000,1516000,1822000,2190000,2669000,3321000,4249000,4786000,5363000,6501000,8118000,7690000
Kazakhstan,5617354,6694000,7977000,9983000,11903000,13107000,14158000,15000000,15999000,16776000,16390000,15688000,16123000,17085000,18158000,19092000
Kenya,5328246,6122000,7034000,8157000,9550000,11248000,13434000,16331000,19763000,23361000,27164000,30606000,35247000,40844000,45926000,49859000
Kiribati,31243,34000,37000,41000,45000,49000,54000,58000,63000,72000,77000,86000,93000,100000,106000,112000
Kosovo,679911,762000,854000,947000,1079000,1220000,1370000,1522000,1683000,1862000,2029000,1701000,1768000,1816000,1871000,1933000
Kuwait,112433,145000,187000,293000,477000,748000,1007000,1370000,1733000,2132000,1665000,1973000,2257000,2544000,2789000,2994000
Kyrgyzstan,1589969,1739000,1902000,2172000,2574000,2964000,3301000,3632000,4062000,4484000,4621000,4938000,5165000,5411000,5665000,5965000
Laos,1711740,1886000,2078000,2310000,2566000,2845000,3162000,3294000,3658000,4211000,4847000,5398000,5837000,6369000,6912000,7448000
Latvia,1873175,1937000,2003000,2116000,2254000,2362000,2462000,2525000,2607000,2664000,2481000,2369000,2259000,2116000,1987000,1882000
Lebanon,1193610,1365000,1561000,1787000,2058000,2384000,2693000,2902000,3177000,3452000,3673000,3835000,4139000,4493000,6185000,5470000
Lesotho,671574,727000,787000,859000,953000,1068000,1196000,1359000,1552000,1704000,1848000,1917000,1923000,1920000,1948000,1970000
Liberia,730868,824000,929000,1055000,1209000,1397000,1617000,1858000,2162000,2139000,1901000,2601000,2931000,3686000,4196000,4728000
Liechtenstein,13067,14000,15000,17000,19000,22000,24000,26000,27000,29000,31000,33000,35000,37000,38000,40000
Lithuania,2494423,2554000,2615000,2765000,2960000,3138000,3306000,3436000,3588000,3684000,3510000,3490000,3327000,3089000,2885000,2732000
Luxembourg,287266,296000,305000,314000,332000,340000,359000,365000,368000,383000,410000,439000,468000,510000,571000,629000
Libya,824082,962000,1123000,1338000,1624000,2000000,2569000,3061000,3661000,4099000,4584000,5025000,5571000,6111000,6412000,6943000
Macau,219876,206000,193000,187000,224000,262000,255000,256000,306000,352000,402000,432000,475000,568000,593000,615000
Macedonia,1119034,1225000,1341000,1367000,1470000,1575000,1685000,1793000,1845000,1862000,1955000,2015000,2046000,2073000,2097000,2113000
Madagascar,4268167,4621000,5003000,5482000,6071000,6766000,7604000,8692000,10029000,11633000,13533000,15713000,18132000,20847000,23813000,26956000
